osc,initial_description,transition_description,finished_description
blending_milk,"Initial state: milk resting in a clear blender jar or pitcher, liquid at rest, surface flat and still, occupying a portion of the container. Color is white and opaque, with slight glossy sheen; viscosity typical of milk. No bubbles, foam, or movement; the liquid shows a gentle meniscus at the container edge. The person is prepping to begin blending—gripping the jar, aligning the lid, and about to press the start/low-speed control.","During blending, milk forms a helical vortex with a central column and visible eddies. The surface glistens white and pale; tiny air bubbles churn throughout, creating microfoam and a creamy texture. Colors remain near white/ivory, with faint stratifications as fat emulsion breaks into finer droplets. The blend shows varying viscosities in patches, as the motor agitates. The operator may run the blender at moderate to high speed, pausing to scrape the sides and adjust speed, monitoring texture.","End state: a uniform, pale white liquid with a smooth, glossy surface, homogeneous throughout; small, evenly distributed microbubbles on the surface may be present, giving a pale foam cap. The consistency is pourable, resembling standard milk or a slightly aerated cream, depending on blending duration. In the container, the liquid forms a level meniscus with no visible separation. The person is likely pouring it into a cup, or transferring it to another vessel for serving or cooking."
blending_ice,"Initial state: In the blender jar sits solid ice chunks—mostly cubed or irregular pieces—white to translucent with frosted edges. Sizes range from small shards to larger blocks; surfaces are slick with condensation. The ice is hard and unmixed, with no liquid yet. The person stands at the counter, hands near the ice, likely loading cubes into the jar or securing the lid as they prepare to power on, not yet blending.","In-progress blending shows a shifting mix: ice fragments range from jagged shards and chipped cubes to progressively fine granules; many pieces are translucent white or tinted by the beverage, with a cloudy slurry where melted droplets cling. The texture transitions from chunky to slushy, with visible moisture beads and a foamy surface near the blades. The liquid surrounds and suspends ice, forming a swirling vortex. The operator may vary speed, pulse briefly, and scrape the jar’s sides.","End state: crushed ice—small irregular fragments with mostly uniform particle size, wet and cold to the touch, translucent white with a glossy surface. Texture is firm yet breakable, sometimes forming a slushy, damp pile if liquid is present. After blending, the person is likely pouring or scooping the crushed ice into a glass or shaker, or transferring it to a container, then removing the lid and cleaning up."
blending_onion,"Initial state: a whole onion on a cutting board. Size varies; a medium onion is ~5 cm in diameter. Skin is dry and papery; color depends on type (white, yellow, or purple). Flesh beneath is firm and tightly layered. When just starting to blend, the person is preparing: peeling the papery skin, trimming the root and tip, and cutting into chunks or quarters to place into a blender or food processor.","In progress, the onion mass appears as a shifting slurry: translucent strands coalescing into a pale paste; particle sizes range from fine puree to small flecks; moisture pools and the mix becomes creamy beige. Swirling motion and a visible vortex mark the blades; the operator might scrape the sides, pulse, adjust speed, or add a splash of liquid.","End state: a smooth, uniform onion puree with no visible chunks; color matches onion type (pale yellow-white for white onions, light purple for red onions); consistency ranges from thick to pourable, often glossy. After blending, they might be sautéing the paste in oil or adding it to a sauce, soup, or curry base."
blending_date,"Initial state: Dates are whole, unblended; elongated, oval shapes a few centimeters long, with smooth to lightly wrinkled skin in tan-to-deep-brown hues; glossy and sticky to the touch; flesh soft but firm, often with a central pit. The person starting blending may remove stems or pits, slice or chop a few dates, and place them into the blender, machine ready to run.","In progress, date pieces are partly broken down into a chunky paste. Colors range from tan to deep brown; some glossy liquid pockets and opaque slurry evident. Texture is heterogeneous: small fragments, fibrous strands, and a thick, stick-chewy consistency that thins with liquid. Swirl patterns and air bubbles mark ongoing homogenization. The person may pulse the blender, scrape the jar walls, adjust speed, add liquid, and taste or check texture to steer toward desired smoothness.","End state: a smooth, homogeneous date puree with no chunks; shape is spoonable, uniform across the surface. Color is deep amber to brown, depending on date variety; texture ranges from thick to pourable but uniform; glossy surface and no fibrous strands. In this final state, the person may scrape the blender, transfer the puree to a bowl or bag, wipe the container, and proceed to incorporate it into a recipe, portion it, label, or store for later use."
blending_cashew,"Initial state: In the blender jar, whole cashews sit unmixed at the bottom. They are oblong, about 1–2 cm long, pale ivory to light tan, with smooth curved surfaces. No liquid or paste is present. The person may be preparing to start by scooping in cashews, securing the lid, and pressing the power switch to begin blending.","During blending, cashews present a moving, irregular mass. Pieces range from coarse granules to small chunks; shapes are jagged and rounded, colors from light tan to beige; fats released create a subtle gloss. Texture shifts from dry to damp, with grainy pockets and occasional smooth paste. The operator pulses the blender, shuffles the mix with a spatula, and checks texture, possibly scraping sides and adding a splash of oil or water as needed.","End state: a smooth, uniform cashew butter—silky, thick and spreadable; pale beige to light tan color; glossy surface; no chunks; consistent viscosity; cohesive and spoonable. The person may transfer the butter into a jar, scoop or spread it on bread, or scrape the blender and taste for texture and flavor."
blending_sauce,"Initial state: ingredients sit in a blender or bowl unmixed, with distinguishable pieces—vegetables, dairy, spices—visible as separate components. The liquid may pool around solids; colors are patchy and uneven, surface irregular. The container lid is off or loosely placed, and the mixture appears multi-textured, varying in thickness. The person is about to begin blending: measuring and pouring ingredients, positioning the jar on the base, and closing the lid before activating the blender.","During blending, the sauce shows a dynamic swirl with a central vortex and side eddies. Chunks break into irregular flecks and then into smaller, more uniform bits. The color turns glossy and cohesive as emulsification progresses. The surface may be foamy or streaked, with tiny bubbles and shifting reflections. Blades splash and scrape the container walls. The person may adjust speed, pulse, scrape the sides, or pause to check texture.","End state: A smooth, homogeneous sauce with no visible lumps; glossy, viscous texture; uniform color throughout; surface with a slight sheen; thick enough to coat a spoon and drizzle in ribbons (nappe). Free of separation and air bubbles. The person may be pouring or ladling into a container, wiping the blender blade, tasting, or sealing and storing the finished sauce."
blending_almond,"Initial state: whole, shelled almonds, 1–2 cm long, teardrop-shaped, hard and dry. Skin ranges from tan to brown; some may be blanched (pale flesh). Surfaces are smooth to slightly textured; color generally uniform. They remain discrete, not crushed, with a solid consistency. The person is loading almonds into the blender, measuring a batch, and starting the appliance.","During blending, almond pieces break into smaller fragments and the texture shifts from loose to more cohesive. Color becomes more uniform as surface oils surface and emulsify, giving a slight sheen. The mixture thickens into a glossy, viscous slurry that clings to blades and container walls; occasional lumps form and break apart. The actor pulses the blender, stops to scrape the sides, and may drizzle a small amount of oil to improve smoothness.","End state of blending almonds yields either a smooth, spreadable almond butter or a fine almond flour. In butter form: glossy, uniform light-to-medium tan paste with no lumps; creamy, spoonable texture. In flour form: pale tan, ultra-fine powder with uniform particle size. The person may be transferring to a jar, spreading on bread, or using it in batter or recipes."
blending_cheese,"Initial state: Cheese appears as separate blocks, wedges, or slices on a clean surface. Colors range from white to pale yellow or orange, depending on variety. Textures range from hard, firm blocks to semi-soft; surfaces may be smooth or waxy, with rind intact or removed. Pieces are about 1–3 cm cubes or irregular chunks, unblended. The person is unwrapping, cutting or breaking the cheese into chunks and placing them at the blender's opening, preparing to start.","During progress, cheese breaks into irregular shards and small curds, suspended in a glossy, pale emulsion. Shapes vary from slivers and granules to soft mounds, with speckled to smoother appearance as it thickens. Color stays near the original hue, sometimes creamy as dairy blends in. The surface shows bubbles and a sheen; texture shifts from chunky to creamy as blades work. The operator adjusts speed and occasionally scrapes the bowl rim to promote homogenization.","End state: a smooth, uniform cheese paste with no visible lumps; creamy, spreadable to scoopable texture; pale yellow to ivory color; glossy surface; forms a gentle dome or scoop-sized mound in the bowl. After blending, they may scrape the sides, transfer to a storage container, cover and label, taste, or spread onto bread/crackers."
blending_mango,"Initial state: One or two ripe mangoes on a cutting board, peeled and cut into rough chunks. Flesh is vivid orange-yellow, smooth and juicy, with some fibrous strands near the pit. Pieces vary from bite-sized to larger portions; skin may be green-yellow. The blender is still off and empty. The person is prepping: washing, peeling, and chopping mango with a knife, gathering chunks in a bowl, about to load them into the blender.","Intermediates appear as a thick, glossy orange slurry with uneven texture: chunks of mango still visible, fibrous strands breaking down, and pockets of liquid forming streaks. The surface may have small bubbles and a slight sheen as blades whirl and agitate, blending fibers with juice. The person adjusts speed, pauses to scrape the bowl, and tilts the container to help even circulation of material around the blades.","End state: A bright yellow-orange mango purée with a silky, uniform, spoonable consistency and glossy surface; no chunks, forming a smooth mound in a bowl or pouring neatly. The person finished may be transferring it to a glass or bottle, or spooning into a dessert cup, or readying the puree for refrigeration."
blending_cream,"Initial state: In a bowl, pale off-white cream sits as a smooth, free-flowing liquid—glossy, slightly viscous, and pourable. It forms a shallow pool at the bottom with a uniform surface and no bubbles. Color is near white; texture is liquid-y but thick. The person starting blending: they hold a whisk or mixer near the bowl, poised to insert it and begin gentle motion, not yet applying force.","In-progress blending shows a pale, thickening mass with rising sheen and tiny air bubbles. Whisks/beaters churn, creating circular ribbons and audible agitation; surface develops micro-reservoirs of foam as lumps break down. The color shifts toward uniform ivory; viscosity increases; edges may smear along the bowl. The action includes rapid circular strokes, occasional scraping of sides, and tempo changes as the emulsion forms but remains unsettled.","End state: whipped cream—airy, glossy white, and stable, forming soft to stiff peaks; smooth, billowy texture that holds shape in rosettes, dollops, or swirls. Color ivory to white with a gentle sheen. The blender is done; the person may be piping onto a dessert, topping a drink or fruit, or smoothing a cake border, then ready to serve."
blending_pepper,"Initial state: Whole peppercorns—hard, dry spheres about 3–5 mm, mostly black or dark brown with glossy shells; intact, with slight irregularities in shape, loose in a bowl or seated in a clear grinder hopper, not yet crushed.

Starting action: The person is preparing to grind—gripping the pepper mill, opening the lid or pouring pepper into the hopper, and twisting the handle or adjusting the grind setting to begin grinding.","Intermediate state: a spectrum of particle sizes appears, from chunky peppercorn fragments to fine granules, swirling around a blade-driven vortex. Colors range from deep black or greenish-brown to dusty gray as oils release and coat particles; occasional clumps form where particles stick. A thin, glossy slurry may pool near the blades if moisture or fats are present. The operator toggles speed, pauses to scrape the container, and checks texture with a spoon or finger.","End state: uniformly ground pepper ranging from fine powder to small granules, with color consistent with the pepper type (black, white, green, or mixed). Dry, free of large chunks, and easily pourable. The blender is off, and the person is sealing or transferring the pepper to a storage jar or shaker, labeling, and wiping the workspace."
blending_avocado,"Initial state: a ripe avocado halved on a cutting board, skin dark green to near-black, oval and palm-sized; pit removed, flesh pale green with a slight yellow tint, smooth and scoopable, still firm. The person begins by cutting around the flesh or loosening it and scooping with a spoon, preparing to blend.","Mid-blend avocado shows irregular green chunks suspended in a lighter to darker green, with slick, glossy sheen from the avocado's moisture. Pieces range from palm-sized to mashable fragments; some turning creamy near the blades while others stay chunky. Mixed air pockets create a marbled texture; surface shows circular swirl patterns as blades operate. The operator depresses the pulse, toggles between fast and slow, occasionally scraping the bowl rim to reincorporate unmixed bits.","End state: a silky, uniform green avocado paste with no chunks; color ranges from bright to olive green, glossy, smooth; creamy, spreadable consistency that holds a light mound on a spoon without separation. The person finished with blending might be scooping it into a bowl, spreading it on toast, or using it as a base for dip or dressing, possibly ready for seasoning."
blending_ginger,"Initial state: a fresh ginger root—knobby, irregular shape; tan-brown papery skin; pale yellow, fibrous flesh. The root is firm and lightly fragrant. At the outset, a person grips a knob, inspects it, and is likely about to prepare it for the blender.","During blending, ginger appears as a pulpy, swirling slurry: pale tan to light amber paste with visible fibrous shards, irregularly sized pieces, and a moist, glossy surface. Some fragments stay chunky while others break to a fine mash; juices run, forming a thin layer near the walls. Air bubbles tint the top. The texture ranges from speckled to smooth as blades whip the mass. The person pulses, stops to scrape the sides, and adds bits gradually.","End state: a smooth, pale yellow ginger paste with uniform texture and fine particle size; no large chunks; glossy, slightly viscous. It holds a small mound on a spoon. The person finished with blending ginger is likely to scrape it into a container or pan, then proceed to cooking, seasoning, or marinating, while cleaning or wiping the blade."
blending_coconut,"Initial state: coconut flesh in rough pieces and loose shreds, white to ivory, with brown skin flecks. Pieces are dry or slightly moist and fibrous, ranging about 0.5–2 cm, irregular in shape. In the blender jar, the pile sits loosely near the bottom, not yet pulverized. A beginner might be gathering or spooning the shredded coconut into the blender, then switching on the motor as the blades begin to turn.","Mid-blend coconuts appear as a white, creamy slurry with fibrous shreds still visible. Particle size ranges from small flakes to coarse grains, gradually breaking down as blades churn. The mixture stays pale white to pale ivory with a glossy, wet surface and scattered air bubbles. It moves in swirling swaths; strands cling to the container walls. The operator pulses or adjusts speed, stops to scrape the sides, and may add a splash of water or milk to loosen texture.","End state: a uniform, smooth coconut milk or cream—pale white to ivory, with no visible chunks and a glossy surface. Depending on water ratio, it is pourable or thick and spoonable, with a velvety texture. In a bowl or measuring cup, ready to strain, store, or cook. The person finished blending coconut may pour it into a bottle or cup, skim foam, or refrigerate for later use."
roasting_pepper,"Initial state: whole peppers, firm and glossy, with intact stems. Shape varies by variety (bell peppers about 3–4 inches long; elongated peppers similar). Skin is smooth, taut, and unblemished; color ranges from green to red to yellow. Flesh is crisp, with a hollow interior and seeds attached to the rib. They may be dry or just washed. A beginner would rinse, pat dry, and begin prepping on a cutting board or preheating the grill/oven.","During roasting, pepper skins blister and darken in patches, turning speckled black and olive. The fruit curls and softens; the surface wrinkles as moisture escapes, and the pepper may sag with a slight overall shrinkage. Some sections stay pliable yet firm, with steam escaping through tiny cracks. The stem darkens. The pepper is rotated and moved over heat with tongs to promote even charring, while heat is adjusted to maintain blistered, pliable flesh.","End state: peppers with blistered, charred skins that peel away easily; softened, pliant flesh that’s wrinkled and slightly collapsed. Shapes vary; sizes range from whole to halved. Colors range from deep red/orange/yellow to darkened green, with smoky aroma. Seeds largely removed; membranes visible. They’re cool, ready to chop, peel, or puree, or to be packed. The person finished roasting may be peeling skins, deseeding, or slicing, often cooling under a towel to steam."
roasting_peanut,"Initial state of roasting peanuts: raw kernels (in shell or shelled) with no browning yet. Shape: oval to elongated. Size: about 1–2 cm long. Color: pale beige to ivory; shells, if present, are light brown and rough. Surface is smooth to slightly textured; firm, uncracked, and dry. The peanut is unmoved by heat. The person starting roast may be inspecting, measuring, preheating a pan or oven, and spreading the raw peanuts in a single even layer.","Mid-roast peanuts display gradual color change and textural shifts. The kernel keeps its oval shape but may slightly swell as moisture evaporates, and skin may blister or loosen. The surface becomes drier and wrinkled, with a light to medium oil sheen. Color shifts from pale beige through tan to golden brown with mottled brown edges. Aroma deepens to nutty; occasional crackles indicate moisture release. The roaster worker constantly stirs or flips, adjusts heat, and checks crispness and color.","End state: shelled peanut kernels are evenly roasted to a golden-brown to medium-dark color, uniform size, plump and slightly wrinkled, with a dry yet faint glossy surface and crisp, crunchy bite. Aroma is toasty and sweet; no burnt edges. The person may cool on a rack, season with salt, bag them, or grind into peanut butter."
roasting_garlic,"A whole garlic head (or unpeeled cloves) with dry papery skin, compact and dome-shaped, about 2–4 cm across. Color ivory/cream with subtle purple streaks; cloves are firm, smooth, and dense beneath the skins. The surface is not yet softened or browned. The cook is at the start: preheating the oven and trimming the top of the head, perhaps brushing on a light coating of oil and placing it on a baking sheet.","Mid-roast, garlic cloves soften from ivory-white to translucent gold. Skins blister and lift, while centers turn creamy and pliant. Cloves may shrink as moisture evaporates and a sheen of oil pools in the pan. Edges caramelize to light amber or brown. Heads loosen into individual cloves that sit in their oil. The cook brushes or toss to coat, flips the pan, and tests tenderness with tongs or a fork.","End state: Whole roasted garlic yields very soft, spreadable cloves—creamy, tender, and easily squeezable. Color ranges from warm golden to deep amber with caramelized, blistered skins; the bulb is fragrant and lightly oily. After roasting, the person might squeeze the cloves from their skins and spread them on bread, mash into potatoes, or whisk into sauces."
roasting_tomato,"Initial state: whole tomatoes, unroasted; firm, smooth, taut skin; colors vary by variety (red, yellow, orange); sizes from cherry to plum; no cuts yet; stems may be attached; surface free of cracks. The preparer begins by washing and drying, trimming stems, and preheating the oven or lining a tray.","During roasting, tomatoes exhibit blistered, wrinkled skin and a deepening color from bright red to ruby. The flesh softens, juices pool, and some collapse or split, with seeds exposed as moisture evaporates. Skin may tear or peel slightly; oil glistens on surfaces and steam rises. The cook flips or rotates the sheet, baste with oil, and adjusts oven temperature while checking tenderness and allowing aromas to intensify.","End state: roasted tomatoes are blistered and charred in patches, halved or whole with slightly collapsed shape, softened flesh that is juicy and jammy; skins may peel away. Color ranges from ruby-red to deep amber-brown, with a glossy surface and released juices; seeds visible; texture tender, sauce-like. The person may now be cooling on a rack or tray, peeling skins, and transferring the flesh to a blender or pot to finish into sauce or spread."
roasting_eggplant,"Initial state: one or more whole eggplants with smooth, glossy purple skin and a green calyx; firm and about 6–8 inches long; no browning or blistering. If pre-cut, flesh is pale and dense with small seeds. The preparer is just starting: washing and patting dry; trimming stems; optionally slicing, scoring, or halving; preheating the pan or oven and readying oil or salt for roasting.","Blisters rise and skin darkens in patches, slick with oil and a light char. The flesh softens from firm to yielding, and the fruit shrinks slightly as moisture evaporates, revealing creamy, pale interior. The surface becomes irregular, wrinkled, with steam pockets and translucent streaks. The cook turns with tongs, vents steam by poking, and brushes on more oil, rotating to ensure even heat and gradual collapse of the fruit.","End state: The eggplant is roasted: the skin blistered and charred, often blackened in patches, flesh sunken and collapsed. The fruit looks shriveled and smaller, with a soft, creamy interior that ranges from pale ivory to tan; an oily sheen coats the surface. The flesh is tender, nearly melting, with reduced moisture and visible seeds. The cook may be peeling off charred skin, scooping out the flesh, draining liquid, and mashing or folding it into a dip or sauce."
roasting_potato,"Initial state: Raw potatoes—size varies (small to large), shape mostly round to oblong; skin tan/brown, with dirt specks; texture firm, smooth to slightly rough; surface dry, not yet oiled or seasoned. The preparer may be washing/scrubbing, drying, and cutting potatoes into uniform chunks or wedges, trimming ends, and readying a tray.","Mid-roast potatoes show: skins blistered and tightening, edges curling, shape still rounded but slightly shrunk; color ranges from pale to golden-brown with caramelization patches; surface crisp with oil sheen and occasional crackling; cut faces darken and glaze; interior becomes tender yet firm, with visible steam pockets; moisture evaporates, causing mild shrinkage. The cook flips, rotates the tray, and tests tenderness with a fork, seasoning as needed.","End state: roasted potatoes are golden-brown to deep bronze, with a crisp, crackly exterior and a tender, fluffy pale-yellow interior. Pieces are bite-sized or wedge-shaped, coated with a glossy oil sheen and caramelized edges, lightly seasoned with salt and herbs. They are hot and aromatic, crisp on the outside yet yielding inside. Post-roast, the person plates them, optionally garnishing with parsley or rosemary and serving."
roasting_coconut,"Initial state: fresh coconut meat (or chips) is pale white to ivory, with a moist, fibrous, firm texture. Pieces are irregular wedges or thin ribbons, about 0.5–2 cm thick; in-shell coconuts show white flesh after cracking. The cook has the pan heating and lays the pieces in a single, even layer to start roasting.","- Shapes become flat, irregular chips that curl at the edges; pieces may shrink as moisture evaporates.
- Color shifts to light golden brown, with speckled browning and darker patches as heat deepens.
- Surface gains a subtle glossy oil sheen; edges crisp while centers remain slightly pliable.
- Texture shifts from soft or flexible to crisp as moisture escapes; pieces may crackle during movement.
- Fragrance intensifies; sizzle increases; cook rotates, stirs, and maintains even spread.","Final roasted coconut presents as golden to deep brown chips or flakes, dry and crisp with a brittle snap. Size varies with cut (1–2 cm chips or finer shards). Surface may be lightly speckled, edges caramelized, and aroma nutty/toasted. Moisture low; texture crunchy, not chewy. The person finished with roasting coconut may be cooling on a rack, breaking into pieces, and packaging or grinding into desiccated coconut."
roasting_onion,"Initial state: peeled onions cut into uniform pieces (dice about 5–8 mm or 1–2 cm wedges) laid in a preheated pan. Color: white to pale yellow flesh with translucent outer layers; skin removed. Surface moist and glossy. Texture: firm, crisp. No browning yet. The cook’s action: heating oil in the pan, adding onion pieces, and spreading them in a single layer to start roasting.","During roasting, onions show translucent to golden-brown progress: plump, glossy pieces soften and shrink as moisture evaporates. Slices curl, surfaces caramelize in patches while others stay pale. Outer rings crisp while inner layers stay tender; some edges pull back from the pan. In hot spots, sizzle persists. The cook stirs, monitors color, adjusts heat, and may baste or deglaze to coat with reduced fond.","End state: Roasted onions are soft, tender, and fully reduced, with halves or wedges slightly reduced in size and softened. Color ranges from golden to deep amber/brown, with edge browning or slight charring. Texture is silky, jammy, or melt-in-your-mouth, with reduced, sweet juices and a glossy surface. For the cook, they might be plating, mashing into a puree, or whisking into a sauce or topping, then seasoning or finishing the dish."
roasting_nut,"Initial state: raw, unroasted nuts—shelled kernels or whole nuts still in shells. Shelled kernels are irregular ovals or rounds; sizes vary by variety. Surfaces are dry, matte, pale beige to light tan; firm and hard; little to no oil or sheen. In shells, outer hulls are hard and dull. A beginner will pour, measure, and spread the nuts in a single layer on a preheated pan or tray to begin roasting.","During roasting, nuts display varied hues from pale tan to mid-golden brown with speckled, matte to slightly glossy surfaces as oils migrate. Size may appear slightly swollen with faint expansion; edges darken unevenly, some skins blister or peel. Texture shifts from firm to lightly crinkled, surfaces crackle as moisture escapes; scent intensifies and nuts may clump into loose clusters. The roaster operator commonly stirs, tosses, or shakes the pan to promote even browning and prevent sticking or burning.","End state: Roasted nuts show uniform golden to deep brown color with slightly darker edges; surface dry and crisp, sometimes a light sheen from released oils; skins may loosen or peel, but overall shape remains recognizable; texture is firm and crunchy, with a toasty aroma. Size largely unchanged, with minor shrinkage. The person finished roasting may be cooling on a rack, tasting, or transferring to a bowl or jar for storage."
roasting_pumpkin,"Initial state: a raw pumpkin, either whole with hard orange rind or cut into rough wedges or cubes. If intact, the surface is smooth with a sturdy stem; if cut, the flesh is firm and bright orange, surrounded by pale stringy pulp and white seeds. Nearby are prep tools: knife, spoon for scooping, a drizzle of oil and seasonings. The person is preheating the oven and trimming/seeding the pumpkin, placing pieces on a tray.","During roasting, pumpkin pieces show browning on exposed surfaces as moisture evaporates; color shifts from bright orange to deep amber; edges blister and curl, skins wrinkle; flesh softens and slightly shrinks, reducing piece size; surfaces glisten with oil; steam escapes, sometimes pooling juices; seeds may separate from flesh when stirred. The cook uses tongs to turn pieces, rotate the tray, baste with oil or seasonings, and monitor tenderness with a fork.","End state of roasted pumpkin: flesh is tender and creamy (or smoothly pureed), deep orange to amber, with caramelized, slightly wrinkled surfaces and browned edges. The texture ranges from silky to chunky depending on prep. The skin is often blistered or loosened and the seeds removed. The pumpkin may have shrunk slightly. The person finished with roasting pumpkin might be scooping the flesh, mashing or blending into puree, seasoning, and plating or using it in soup, pie filling, or sauces."
roasting_almond,"Initial state: Raw almonds, oblong and pointed, about 15–20 mm long (1.5–2 cm). They are pale beige to light tan with a thin brown skin, dry and hard, with a smooth to slightly wrinkled surface. There is no oil or browning yet. They sit loose in a bowl or on a baking tray. The person may be placing them in a dry pan or spread on a sheet, ready to begin heating.","Mid-roast: almond kernels remain oval with skins mostly intact, but slightly loosened. Color shifts from pale beige to warm tan and light brown, with a few darker edges. The surface grows drier and can look a touch glossy from releasing oils; slight wrinkling and tiny fissures appear. Size remains largely the same with subtle shrinkage as moisture evaporates. Aroma intensifies. The roaster stirs, shakes, or flips on heat, monitoring color for even browning.","Finished almonds are evenly golden-brown, oval kernels with light creases and a dry, crisp snap. They feel firm, not greasy, and emit a toasty, nutty aroma. Size remains roughly the same; surface may show subtle wrinkles. Color ranges pale tan to medium brown, with occasional darker specks. The person may be cooling them on a rack or tray, then lightly salted or seasoned before storage."
roasting_chicken,"Initial state: a whole raw chicken (or bone-in pieces) with pale pink, glossy skin and a moist surface. Shape is plump and rounded; size ranges from a small bird to about 2 kg. Consistency is soft and pliable. The cook is starting by preheating the oven, patting dry, trimming excess fat, rubbing with oil, salt, pepper and herbs, and placing the chicken in a roasting pan, often trussed.","Mid-roast, the bird stays on the rack, silhouette subtly shrinks as moisture evaporates and fat renders. Skin lightens from pale ivory to gold, bronzing with blistered, crisp patches. Juices surface and fat glistens on an active crust. The meat interior warms: fibers tighten and connective tissue dissolves gradually, transitioning toward opaque. The cook baste with pan drippings, rotate the tray for even browning, and monitor temperature and color, adjusting heat as needed.","End state: a whole roasted chicken with crisp, evenly browned skin ranging from golden to deep amber; intact shape with slight shrinkage. Meat cooked through (white breast, tender dark meat); juices run clear when cut, and the surface is glossy with rendered fat. Post-roast, the cook rests the bird briefly and moves to carve and plate the portions, serving on a platter."
roasting_vegetable,"Initial state: raw vegetables cut into uniform pieces (about 1–2 inches) such as wedges, rounds, or sticks. Surfaces are pale, moist, and firm to the touch, showing natural color (carrot orange, zucchini green, pepper red). Pieces are spaced on a parchment-lined sheet with light oil and minimal salt. The cook is preheating the oven, trimming, washing, drying, and spreading the pieces in a single layer before roasting begins.","Vegetables on a lined sheet show variable browning and blistering at edges. Slices curl and shrink; shapes become irregular as moisture evaporates. Color ranges from pale gold to deep amber; surfaces blister and crisp while interiors soften and stay moist. Juices glisten; steam rises; oil beads on the surface. Pieces are rearranged or flipped for even caramelization. The cook tosses, rotates the tray, seasons, and watches for uniform browning, adjusting heat as needed.","End state: Roasted vegetables are tender with caramelized, lightly crisp edges. Colors range from golden to deep brown; skins blistered or wrinkled; size slightly reduced from moisture loss. Texture is soft inside with a crisp exterior; juices may pool slightly. Shapes remain recognizable (chunks, wedges). Post-roast: the cook plates or serves warm, possibly tossing with olive oil, salt, pepper, herbs, or citrus, and garnishing before serving."
roasting_cauliflower,"Initial state: cauliflower is raw, either a whole head or large florets, pale white with creamy undertones, tight, firm buds, dry matte surface. Pieces are roughly uniform in size and trim has removed leaves; head separated into florets, washed and patted dry. The cook begins by tossing with oil and seasonings before spreading on a sheet for roasting in a preheated oven.","Mid-roasting, cauliflower florets transition from pale, dense buds to golden-brown, caramelized surfaces. Edges become crisp while interiors stay tender. Florets may shrink or curl, and shape shifts slightly as moisture evaporates, with tops showing speckled browning or light charring. The surface glistens with roasting oil, sometimes with a slight glaze from seasoning. The cook is likely shaking the pan, turning florets, and tossing for even browning and texture contrast.","End state: florets are deeply golden to amber-brown with caramelized, blistered edges; white creamy interiors visible where opened; surfaces glossy from oil. Texture is tender with a lightly crisp exterior and fork-tender center; florets remain intact but slightly shrunk. Color gradient from pale white to dark brown tips. Some charring may appear. The finished cook might be plating the dish, drizzling olive oil or lemon, and garnishing with herbs or salt before serving."
roasting_carrot,"Initial state: raw carrot pieces, peeled, cut into uniform batons about 1 cm thick and 6–8 cm long. Skin bright orange, smooth, dry, and firm to the touch; no color change yet. They lie on a parchment-lined baking sheet in a single layer, ends trimmed and evenly spaced. The cook is washing, peeling, trimming, and cutting, then tossing the sticks with oil and salt and placing the tray in a preheated oven.","Carrots in progress show caramelized, blistered surfaces with golden-brown edges and slight shrinkage. Exteriors appear crisp with a glossy oil sheen; interiors remain tender beneath. Color shifts from bright orange to deeper amber; surface browning reveals Maillard notes and occasional char. Steam pockets form; edges curl and blister. The cook stirs, tosses, or flips the pieces, adjusts heat, and monitors tenderness and sizzle.","End state: roasted carrots are soft yet hold a slight bite, with bronzed-orange color and caramelized, slightly wrinkled surface; edges may be crisp and sometimes charred; interior is tender and moist, with a glossy sheen from released sugars. Drizzle of oil or glaze may be visible. The cook might plate them, taste-test, or finish with herbs and serve warm."
roasting_hazelnut,"Initial state: Raw hazelnuts, either in-shell or shelled, are dry and firm. In-shell nuts show smooth brown shells; shelled kernels are pale beige, teardrop-shaped about 1–2 cm long, with a thin papery skin. The surface is matte and non-oily; no browning yet. Beginning actions: the person may spread raw nuts in a single layer on a baking sheet or preheat a dry skillet, readying them for toasting.","During roasting, hazelnuts show warm brown hues developing as heat loosens skins and surface wrinkles. The nuts feel firmer yet slightly pliable, with a mild oil sheen forming and minor puffing as moisture escapes. Aromas intensify into nutty toast. The roaster stirs or tosses for even color, adjusts heat, and watches for consistent browning without scorching, timing intervals by color cues and crackling sound.","Finished roasted hazelnuts are shelled kernels, roughly uniform in size and oval in shape. Color ranges golden to medium brown with occasional darker spots; surface is dry, lightly wrinkled, and skins may be loosened or peeled. Texture is crisp and crunchy with a fragrant, nutty aroma; a slight oil sheen may persist or fade as they cool. The person might be cooling, sorting, or removing skins, then salting, chopping, or grinding for use."
